title,price,rating,reviews,brand,ram,storage,processor,windows,screen_size,color
"ThinkPad L430 Business Laptop | Core i5-3320M | 8GB RAM | 128GB SSD | Win10 Pro | 14inch | Office Ready (8, GB)",12990.0,1.0,,ThinkPad,8GB,128GB SSD,i5,Windows 10,14,
"HP 14s Intel Celeron Dual Core N4500 Laptop (8GB/512GB SSD/Win 11) 14.0"" HD Display, MSO 24, Black, 1.46kg, DQ3149TU Thin and Light Business Laptop",28690.0,3.4,,HP,,512GB SSD,,Windows 11,14.0,Black
"Lenovo ThinkBook 16, AMD Ryzen 7 7735HS, 16GB RAM, 512GB SSD, WUXGA IPS 16"", Windows 11 Home, 1.7kg, 21MWA0AUIN, Backlit Keyboard, Fingerprint, 300 Nits, 1Y Warranty, Aluminium Top Laptop",57990.0,3.7,,Lenovo,16GB,512GB SSD,Ryzen 7,Windows 11,16,
"Lenovo IdeaPad 5 2-in-1 AMD Ryzen AI 7 350 (24GB RAM/1TB SSD/14 (35.5cm)/WUXGA OLED/Windows 11/Lenovo AI Now/Copilot+PC/Office Home 2024/Digital Pen 2/Grey/1.5Kg), 83KT000LIN Convertible Laptop",99990.0,4.1,,Lenovo,24GB,1TB SSD,,Windows 11,,Grey
"HP Victus, 14th Gen Intel Core i5-14450HX, 6GB RTX 3050, 24GB DDR5, 512GB SSD, FHD, 144Hz, IPS, 300 nits, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2303tx, RGB Gaming Laptop",80490.0,3.8,,HP,,512GB SSD,i5,Windows 11,15.6,Silver
"HP 14, Intel Core Ultra 7 155H (24GB DDR5, 1TB SSD), Micro-Edge, Anti-Glare, FHD, 14''/35.6cm, Win11, M365* Office24, Silver, 1.4kg, ep1181TU, FHD Camera, Backlit Laptop",83250.0,3.0,,HP,,1TB SSD,,Windows 11,14,Silver
"HP Smartchoice Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fa2309TX, RGB Gaming Laptop",109990.0,4.0,,HP,,1TB SSD,i7,Windows 11,15.6,Silver
"HP 15, 13th Gen Intel Core i7-1355U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, 15.6’’/39.6cm, Win11, M365(1yr)* Office 24, Silver, 1.59kg, Iris Xe, FHD Camera w/Shutter, Backlit Laptop fd0468tu/fd0515tu",67990.0,4.0,,HP,,512GB SSD,i7,Windows 11,,Silver
"HP Victus, AMD Ryzen 7 7445HS, 4GB RTX 2050, 16GB DDR5(Upgradable) 512GB SSD, FHD, 144Hz, 300 nits, IPS, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.29kg, fb3123AX, Backlit, Gaming Laptop",62990.0,4.3,,HP,,512GB SSD,Ryzen 7,Windows 11,15.6,Silver
"HP 15, Intel Core Ultra 5 125H (16GB DDR5, 1TB SSD) FHD, IPS, 15.6''/39.6cm, Win11, M365 Basic(1yr)*Office24, Silver, 1.65kg, fd1354TU, Intel Arc Graphics, FHD Camera w/Shutter, AI Powered Laptop",66490.0,4.0,,HP,,1TB SSD,,Windows 11,15.6,Silver
"DELL 14 (2026) Intel Core 3 14th Gen 100U - (16 GB DDR5/512 GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD+ IPS Display/Ice Blue/1.4 kg/MSO 2021",44100.0,5.0,,DELL,,512 GB SSD,,Windows 11,14.0,Blue
"HP Professional 14 (2025), Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" HD Display/Turbo Silver/1.4 Kg/MSO 2021",44100.0,5.0,,HP,,512 GB SSD,i3,Windows 11,14.0,Silver
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop",52430.0,4.2,,Lenovo,,512GB SSD,i5,Windows 11,15.6,Grey
Microsoft New Surface Pro (11th Edition) - Windows 11 Home Copilot + PC - 13” OLED PixelSense Touchscreen - Qualcomm Snapdragon X Elite (12 Core) - 32GB RAM - 1TB SSD - Platinum - ZID-00014,243990.0,2.9,,Microsoft,32GB,1TB SSD,,Windows 11,,
"Lenovo LOQ, AMD Ryzen 5 7235HS, RTX 3050-6GB, 24GB RAM, 512GB SSD, FHD, 15.6""/39.6cm, 144Hz, Windows 11, Office Home 2024, Grey, 2.4Kg, 3 Mon. Game Pass, 83JC00EFIN, Gaming Laptop",76990.0,4.3,,Lenovo,24GB,512GB SSD,Ryzen 5,Windows 11,15.6,Grey
"Samsung Galaxy Book 4 15.6"" Full HD | Intel Core i5 1335U | 16GB RAM | 512GB SSD | Win 11 Home | MS Office'2024 | Fingerprint Reader | Intel Iris XE Graphics | Backlit Keyboard |NP750XGJ-LS6IN |Silver",55555.0,4.8,,Samsung,16GB,512GB SSD,i5,Windows 11,15.6,Silver
"HP Victus, 13th Gen Intel Core i7-13620H, 8GB RTX 5060, 24GB DDR5(Upgradeable) 1TB SSD, 144Hz, 300nits, IPS, FHD, 15.6""/39.6cm, Win11, M365* Office 24, Mica Silver, 2.29Kg, fa2308TX, RGB Gaming Laptop",119490.0,4.2,,HP,,1TB SSD,i7,Windows 11,15.6,Silver
"HP Omen, AMD Ryzen 9 8940HX, 8GB RTX 5070, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.44kg, ap0182AX, RGB, AI Gaming Laptop",169990.0,4.2,,HP,,1TB SSD,Ryzen 9,Windows 11,16,Black
"ASUS Zenbook 14,Intel Core Ultra 7 (Series 2), Intel Arc iGPU,32GB,1TB,3K OLED Touch Screen,14"",Windows 11,M365 Basic (1Year)*,Office 2024,Ponder Blue,1.28 kg UX3405CA-PZ163WS, Thin & Light Laptop",119990.0,4.1,,ASUS,,,,Windows 11,14,Blue
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",38490.0,4.0,,Lenovo,,512GB SSD,Ryzen 5,Windows 11,15.6,Grey
"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 1TB SSD) FHD, 14''/35.6 cm, Touchscreen 2-in-1, Win 11, Office 21, Silver, 1.51 kg, ek1010TU/1149tu, FPR, 5MP Camera, B&O, Backlit Laptop",77490.0,3.9,,HP,,1TB SSD,i5,Windows 11,14,Silver
"acer SmartChoice ALG, 13th Gen Intel Core i5-13420H, NVIDIA GeForce RTX 3050-6GB DDR6, 16GB RAM, 512GB SSD, FHD 15.6""/39.62 cm, 144Hz, Windows 11 Home, Steel Gray, 1.99 KG, AL15G-53,Gaming Laptop",62990.0,4.0,,acer,16GB,512GB SSD,i5,Windows 11,15.6,Gray
"Portable Touchscreen, 15.6"" 1080P 60Hz Laptop Monitor, Lightweight Dual USB C HDMI Second Gaminig Display with Speakers, Travel Monitor for PS4/5 Xbox Switch MAC PC Phone",16999.0,4.1,,Portable,,,,,15.6,
"Dell 15, Intel Core 3 14th Gen-100U, 16GB DDR4, 512GB SSD, FHD IPS, 15.6""/39.62cm, Win 11, Office H&S 2024, Carbon Black, 1.63Kg, [Dell 15], Intel UHD Graphics, 120Hz 250 nit, Thin & Light, Laptop",44300.0,3.9,,Dell,,512GB SSD,,Windows 11,15.6,Black
"Acer Aspire Lite, AMD Ryzen 7-7730U, 16 GB RAM, 512 GB SSD, Full HD IPS,15.6""/39.62 cm, Windows 11 Home, MS Office, Steel Gray, 1.59 KG, AL15-41, Thin and Light Laptop",46990.0,4.0,,Acer,16GB,512 GB SSD,Ryzen 7,Windows 11,15.6,Gray
"HP Smartchoice Victus, 13th Gen i7-13620H, 6GB RTX 4050, 16GB DDR4(Upgradeable) 512GB SSD, 144Hz, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2100/03/04tx, Gaming Laptop",92990.0,4.0,,HP,,512GB SSD,i7,Windows 11,15.6,Silver
"Dell 15, Intel Core i3 13th Gen -1305U, 16GB DDR4, 512GB SSD, FHD, 15.6""/39.6cm, Windows 11, Office H&S 2024, Carbon Grey, 1.66Kg, [Vostro 3530], Intel UHD Graphics, Narrow Border, Thin & Light Laptop",40990.0,3.9,,Dell,,512GB SSD,i3,Windows 11,15.6,Grey
"Lenovo LOQ, Intel Core i7 13th Gen 13700HX, NVIDIA RTX 5060 8GB, 16GB RAM, 1TB SSD, 15.6""(39.6cm), 144Hz, Windows 11, Office 2024, Grey, 2.4Kg, 83JE00U4IN, 572 AI Tops, 3 Mon. Game Pass Gaming Laptop",127990.0,4.1,,Lenovo,16GB,1TB SSD,i7,Windows 11,15.6,Grey
"HP Omen, Intel Core i7-14650HX 14th Gen, 8GB RTX 5050, 24GB DDR5(Upgradeable) 1TB SSD, 165Hz, 2k WUXGA, 3ms, 400 nits, 16''/40.6cm, Win11, M365* Office24, Black, 2.43kg, am0241TX, RGB Gaming Laptop",138990.0,4.3,,HP,,1TB SSD,i7,Windows 11,16,Black
"HP Laptop 15, Intel Core i5-1335U-13th Gen, (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge, FHD, 15.6''/39.6cm, Win11, M365 Basic(1yr)* Office24, Silver, 1.59kg, Iris Xe, FHD Camera w/Shutter",55990.0,4.0,,HP,,512GB SSD,i5,Windows 11,15.6,Silver
"Lenovo IdeaPad Slim 3 AMD Ryzen 7 8840HS 15.3 inch (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg), 83KA004SIN",67490.0,4.8,,Lenovo,16GB,512GB SSD,Ryzen 7,Windows 11,15.3,Grey
"Dell SmartChoice G15-5530, Intel Core i5 13th Gen-13450HX, NVIDIA RTX 3050-6GB, 16GB RAM, 1TB SSD, FHD, 15.6""/39.62cm, 120Hz, Windows 11, MS Office 24, Dark Shadow Grey, 2.65Kg, Gaming Laptop",79990.0,4.0,,Dell,16GB,1TB SSD,i5,Windows 11,15.6,Grey
"Lenovo 14 (2025), Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.4 kg/Microsoft Office 2021",53700.0,3.9,,Lenovo,,512 GB SSD,i5,Windows 11,14.0,Grey
"acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg",37990.0,4.0,,acer,16GB,512GB SSD,i3,Windows 11,15.6,Gray
"ASUS Vivobook Go 14, AMD Ryzen 5 7520U, 8GB RAM, 512GB SSD, FHD 14""(1920 x 1080), Windows 11, Office Home 2024, M365 Basic (1Year)*, Black, 1.38kg, E1404FA-EB2522WS, AMD Radeon iGPU Laptop",37576.0,5.0,,ASUS,8GB,512GB SSD,Ryzen 5,Windows 11,14,Black
"Lenovo Yoga Slim 7 (Smartchoice) Intel Core Ultra 9 185H 14""(35.5cm) WUXGA-OLED Laptop (32GB RAM/1TB SSD/AI PC/Windows 11/Microsoft 365 Basic + Office Home 2024/1Yr ADP Free/Grey/1.39Kg), 83CV00B3IN",109990.0,4.1,,Lenovo,32GB,1TB SSD,,Windows 11,14,Grey
"HP 15 Laptop, AMD Ryzen 5 7520U (16GB DDR5,512GB SSD) Win11,M365 Basic(1yr)*Office Home24, Anti-Glare,15.6''/39.6cm,FHD,Backlit KB,FHD Camera w/Privacy Shutter,Radeon Graphics, Silver,1.59kg FC0690AU",45990.0,4.0,,HP,,512GB SSD,Ryzen 5,Windows 11,15.6,Silver
"Lenovo V14 Intel Core i5 13th Gen 14"" FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey/1.43 kg), 83A0A0PTIN",53899.0,3.8,,Lenovo,16GB,512GB SSD,i5,Windows 11,14,Grey
"SAMSUNG Galaxy Book4 Edge Laptop 15.6"" FHD Anti-Glare Qualcomm 8-core Snapdragon X (Up to 45 Tops) 16GB RAM 512GB SSD for Creator Designer Business Professional Win11 ICP Hub w/Copilot+ AI",58490.0,4.4,,SAMSUNG,16GB,512GB SSD,,Windows 11,15.6,
"Cable World® Educational Laptop Computer Toy for Kids Above 3 Years - 20 Fun Activity Learning Machine, Now Learn Letter, Words, Games, Mathematics, Music, Logic, Memory Tool",699.0,3.8,,Cable,,,,,,
"MSI Thin A15, Ryzen 5 7535HS, 40CM FHD 144Hz Gaming Laptop(16GB/512 GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050, GDDR6 4GB /Cosmos Gray/1.86Kg), B7UC-067IN",62990.0,4.0,,MSI,,,Ryzen 5,Windows 11,,Gray
"Thomson 15.6 Inch In-N15I Windows 11, Intel Corei3 12Th Gen 1215U (8GB DDR / 512GB SSD/Backlight Keyboard) Window 11 (Stylish, 1.65Kg, Ultra Performance/Grey Brush) Notebook",26490.0,2.5,,Thomson,,512GB SSD,i3,Windows 11,15.6,Grey
"ASUS Vivobook Go 15, AMD Ryzen 5 7520U Thin & Light Laptop(AMD Radeon iGPU/8GB RAM/512GB SSD/FHD/15.6""/60Hz/Windows 11/M365 Basic (1Year)*/Office Home 2024/Cool Silver/1.63 Kg) E1504FA-NJ132WS",37990.0,4.0,,ASUS,8GB,512GB SSD,Ryzen 5,Windows 11,15.6,Silver
"ASUS Vivobook Go 15, 7000 Series, AMD Ryzen 3 7320U, 8 GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Cool Silver, 1.63 kg, E1504FA-BQ2321WS, Laptop",34990.0,3.8,,ASUS,8GB,512GB SSD,Ryzen 3,Windows 11,15.6,Silver
"ASUS Vivobook 15,13th Gen,Intel Core i7-13620H(Intel UHD iGPU/16GB RAM/1TB SSD/FHD/15.6""/60Hz/Backlit Keyboard/42Whr/Windows 11/M365 Basic (1Year)*/Office Home 2024/Quiet Blue/1.7 Kg)X1502VA-BQ1298WS",67990.0,4.0,,ASUS,16GB,1TB SSD,i7,Windows 11,15.6,Blue
"HP 15, AMD Ryzen 7 5825U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge,15.6''/39.6cm, Win11, M365(1yr)* Office24, Silver, 1.59kg, fc0476AU, Radeon Graphics, FHD Camera w/Shutter, Backlit Laptop",49990.0,4.0,,HP,,512GB SSD,Ryzen 7,Windows 11,15.6,Silver
"ASUS Vivobook Go 15, 7000 Series, AMD Ryzen 3 7320U, 8 GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Mixed Black, 1.63 kg, E1504FA-BQ2322WS, Laptop",38990.0,4.1,,ASUS,8GB,512GB SSD,Ryzen 3,Windows 11,15.6,Black
"Lenovo IdeaPad Flex 5 AMD Ryzen 5 5625U (16GB RAM/512GB SSD/14 (35.5cm)/WUXGA IPS/Windows 11/Office Home 2024/Lenovo Digital Pen/1Yr ADP/Grey/1.5Kg), 82XX00G4IN Convertible Laptop",54990.0,4.2,,Lenovo,16GB,512GB SSD,Ryzen 5,Windows 11,,Grey
